Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Hard Drive Rotational Speed,Optical Drive Type,Power Source,Batteries,Screen Size,Max Screen Resolution,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,laptop_link,Hardware Platform,Flash Memory Size,Screen Resolution,Graphics Card Ram Size,Memory Speed,Average Battery Life (in hours),Package Dimensions,Rear Webcam Resolution,Voltage,Manufacturer,ASIN,Date First Available,National Stock Number
Lenovo,"IdeaPad 3 14""",81W0003QUS,Windows 10,3.3 pounds,12.88 x 9.49 x 0.78 inches,12.88 x 9.49 x 0.78 inches,Abyss Blye,AMD,1,DDR4 SDRAM,7200 RPM,None,Battery Powered,1 Lithium Polymer batteries required. (included),14 inches,1920 x 1080 pixels,AMD Integrated Graphics,AMD,Integrated,802.11ac,1,2,https://www.amazon.com/Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP/ref=sr_1_7?dchild=1&keywords=laptops&qid=1592921599&sr=8-7,,,,,,,,,,,,,
ASUS,VivoBook 15,F512JA-AS34,Windows 10 S,3.75 pounds,14.1 x 9.1 x 0.8 inches,14.1 x 9.1 x 0.8 inches,,Intel,2,DDR4 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080 pixels,Intel UHD Graphics,Intel,Integrated,802.11ac,2,2,https://www.amazon.com/ASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34/dp/B0869L1326/ref=sr_1_14?dchild=1&keywords=laptops&qid=1592921599&sr=8-14,PC,128,1920 x 1080 pixels,8 GB,,,,,,,,,
Acer,A515-43-R19L,A515-43-R19L,Windows 10 S,3.97 pounds,14.31 x 9.74 x 0.71 inches,14.31 x 9.74 x 0.71 inches,Silver,AMD,2,DDR4 SDRAM,,None,Battery Powered,1 Lithium Polymer batteries required. (included),15.6 inches,1920 x 1080,AMD Radeon Vega 3,AMD,Integrated,802.11ac,2,1,https://www.amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36/ref=sr_1_3?dchild=1&keywords=laptops&qid=1592921599&sr=8-3,,128,,,3.5 GHz,7.5 hours,,,,,,,
HP,HP i5 touch,,Windows 10 Home,5.39 pounds,,,Silver,Intel,4,DDR4 SDRAM,5400 RPM,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,1366 x 768 pixels,Intel Graphics_coprocessor,Intel,Dedicated,802.11ac,,3,https://www.amazon.com/2020-HP-Touchscreen-Premium-Laptop/dp/B081SM57RY/ref=sr_1_4?dchild=1&keywords=laptops&qid=1592921599&sr=8-4,PC,16,,0.01 MB,,,19 x 12 x 3 inches,1 	MP	,,,,,
HP,14-DK000,14-DK000,Windows 10,3.2 pounds,12.76 x 8.9 x 0.78 inches,12.76 x 8.9 x 0.78 inches,Sliver,AMD,2,DDR4 SDRAM,,DVD-ROM,,1 Lithium ion batteries required. (included),14 inches,1366 x 768 pixels,AMD Radeon R5 Graphic,Amd,Integrated,Bluetooth,,3,https://www.amazon.com/HP-A9-9425-Graphic-Bluetooth-Windows/dp/B084HLTZSG/ref=sr_1_5?dchild=1&keywords=laptops&qid=1592921599&sr=8-5,PC,4,,,3.1 GHz,,,,,,,,
HP,HP Laptop,15-dy1036nr,Windows 10 Home,3.75 pounds,14.11 x 9.53 x 0.71 inches,14.11 x 9.53 x 0.71 inches,,Intel,4,DDR4 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080 pixels,Intel UHD Graphics,Intel,Integrated,Bluetooth,,3,https://www.amazon.com/HP-15-Inch-i5-1035G1-Solid-State-15-dy1036nr/dp/B085B5SXLY/ref=sr_1_6?dchild=1&keywords=laptops&qid=1592921599&sr=8-6,PC,8,,,,10.25 hours,,,,,,,
ASUS,ASUS VivoBook L203,L203MA-DS04,Windows 10 S,2.2 pounds,11.3 x 7.6 x 0.67 inches,11.3 x 7.6 x 0.67 inches,,Intel,2,DDR4 SDRAM,10000 RPM,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),11.6 inches,1920 x 1080 pixels,Intel UHD Graphics 600,Intel,Integrated,802.11a/b/g/n/ac,,3,https://www.amazon.com/ASUS-Ultra-Thin-Processor-L203MA-DS04-Microsoft/dp/B07N6S4SY1/ref=sr_1_8?dchild=1&keywords=laptops&qid=1592921599&sr=8-8,PC,64,,4 GB,2.6 GHz,1 days,,,240 volts,,,,
Dell,I3583-i3-8gb-128gb,,Windows 10,4.4 pounds,15 x 10.2 x 0.8 inches,15 x 10.2 x 0.8 inches,,Intel,2,DDR4 SDRAM,,No Optical Drive,Battery Powered,1 A batteries required.,15.6 inches,1366 x 768,Intel UHD Graphics 620,Intel,Integrated,802.11ac,1,2,https://www.amazon.com/Dell-Inspiron-i3583-Touch-Screen-Laptop/dp/B08173ZTJX/ref=sr_1_9?dchild=1&keywords=laptops&qid=1592921599&sr=8-9,PC,128,1360x768,2 MB,,,,,,,,,
HP,Hp 15 Laptop,15-dy,Windows 10,3.8 pounds,14.11 x 9.53 x 0.71 inches,14.11 x 9.53 x 0.71 inches,,Intel,4,DDR4 SDRAM,,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),15.6 inches,1366x768,Intel Iris Plus Graphics,Intel,Integrated,802.11b,1,1,https://www.amazon.com/HP-Touchscreen-Computer-Quard-Core-Bluetooth/dp/B082LPQRTZ/ref=sr_1_10?dchild=1&keywords=laptops&qid=1592921599&sr=8-10,PC,512,1366x768,,3.6 GHz,,,,,,,,
ASUS,Asus VivoBook 15 F512FA,,Windows 10 S,3.75 pounds,14.1 x 9.1 x 0.75 inches,14.1 x 9.1 x 0.75 inches,,Intel,2,DDR4 SDRAM,10000 RPM,,,,15.6 inches,1920 x 1080 pixels,Intel UHD Graphics 620,Intel,Integrated,802.11b/n/ac,2,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A007936827OSWBJFTCPQQ&url=%2FASUS-VivoBook-i3-8145U-Windows-F512FA-AB34%2Fdp%2FB07Y2WSQK8%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921599%26sr%3D8-11-spons%26psc%3D1%26smid%3DAO1LGXGNS33JB&qualifier=1592921599&id=7383061700535780&widgetName=sp_mtf,PC,128,,8 GB,3.9 GHz,,,,,,,,
ASUS,ZenBook 15,UX534FTC-AS77,Windows 10 Home,3.6 pounds,13.9 x 8.7 x 0.7 inches,13.9 x 8.7 x 0.7 inches,,Intel,4,DDR3 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080 pixels,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ax,,3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A02214402P75R530RD419&url=%2FASUS-i7-10510U-ScreenPad-Compatible-UX534FTC-AS77%2Fdp%2FB0869JVMLY%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921599%26sr%3D8-12-spons%26psc%3D1&qualifier=1592921599&id=7383061700535780&widgetName=sp_mtf,PC,512,4096 x 2160 pixels,4 GB,,,,,,,,,
,,MWTL2LL/A,,5.28 pounds,12.76 x 2.4 x 9.09 inches,,,,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,https://www.amazon.com/Apple-MacBook-13-inch-256GB-Storage/dp/B08636NKF8/ref=sr_1_13?dchild=1&keywords=laptops&qid=1592921599&sr=8-13,,,,,,,,,,Apple Computer,B08636NKF8,March 18,
HP,850011107829,,Windows 10,3.25 pounds,12.75 x 8.89 x 0.78 inches,12.75 x 8.89 x 0.78 inches,,AMD,2,DDR4 SDRAM,,,AC & Battery,1 Lithium ion batteries required. (included),14 inches,1366 x 768,Radeon Vega 3 Graphics,AMD,,802.11b/g,,,https://www.amazon.com/HP-Touchscreen-Business-Dual-Core-Bluetooth/dp/B081D9HJ4P/ref=sr_1_15?dchild=1&keywords=laptops&qid=1592921599&sr=8-15,PC,128 GB,1366x768,,2400 MHz,,,,,,,,
HP,Notebook,7MP80UA-cr,Windows 10,3.2 pounds,12.76 x 8.89 x 0.78 inches,12.76 x 8.89 x 0.78 inches,Silver,Intel,2,DDR SDRAM,,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),14 inches,1366 x 768,AMD Radeon™ Vega 3 Graphics,Amd,Integrated,802.11ac,1,1,https://www.amazon.com/HP-Performance-Graphics-Bluetooth-Windows/dp/B084YXBMR9/ref=sr_1_16?dchild=1&keywords=laptops&qid=1592921599&sr=8-16,PC,128,,,3.5 GHz,8 hours,,,,,,,
HP,9MV75UA#ABA,14-cb188nr,Windows 10 Home,4.39 pounds,13.27 x 8.9 x 0.7 inches,13.27 x 8.9 x 0.7 inches,Rose Pink,Intel,2,DDR4 SDRAM,,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),14 inches,1920 x 1080 pixels,Intel UHD Graphics 600,Intel,Integrated,801.11ac,1,2,https://www.amazon.com/HP-14-inch-Celeron-Personal-14-cb188nr/dp/B084SCJY1J/ref=sr_1_17?dchild=1&keywords=laptops&qid=1592921599&sr=8-17,PC,4,1920 x 1080 pixels,,2.6 GHz,13 hours,,,,,,,
Acer,A515-54-59W2,A515-54-59W2,Windows 10 Home,5.74 pounds,14.31 x 9.86 x 0.71 inches,14.31 x 9.86 x 0.71 inches,Silver,Intel,4,DDR4 SDRAM,0.01 RPM,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080,,Intel,Integrated,802.11ax,1,3,https://www.amazon.com/Acer-i5-10210U-802-11ax-Fingerprint-A515-54-59W2/dp/B07XPLKZ5P/ref=sr_1_18?dchild=1&keywords=laptops&qid=1592921599&sr=8-18,,256,,,,5 hours,,,,,,,
