name,loc,rank,link,laptop
Aranak,"Reviewed in the United States on December 19, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AFQ6YVKNRUXJHPWKJ4OPTTUIJABA,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
Jim Lubinsky,"Reviewed in the United States on March 5, 2020",4.0 out of 5 stars,/gp/profile/amzn1.account.AG4RIPBSGXU4VHYR5P5BLN6S5FPA,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
E. H. Lilly,"Reviewed in the United States on May 17, 2020",4.0 out of 5 stars,/gp/profile/amzn1.account.AFQCNAAXKDNJARGJSEUOX2H6BB6A,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
Shuttle,"Reviewed in the United States on December 30, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AFSJV2XKWWDQ5C5RSVZKIP7GDPDQ,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
Linda Udischas,"Reviewed in the United States on May 2, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AHCIZJXBRROJSX46KTPOQUMHGZUQ,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
The Casterton's,"Reviewed in the United States on May 12, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AFDGXWZIRS3CNBDNHGE4LAYXN7NQ,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
Timothy Fischer,"Reviewed in the United States on May 9, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AETLDSC5OFO3YHU2CX4AJV7KEEYA,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
Estephanie Ward,"Reviewed in the United States on June 5, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AGN5OVV4JWXRQP5PNOWP7MMMV6YA,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592682155&sr=8-35
William D.,"Reviewed in the United States on August 17, 2019",3.0 out of 5 stars,/gp/profile/amzn1.account.AEQQY4I75RA6VVZW5WQN2KUU4YRQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A1019656VBE9ZJALQJC7&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-34-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_atf_next
Juan Mendez,"Reviewed in the United States on August 24, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AF6Y6FRNR4WVBW6JRVV5TXUKAKXQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A1019656VBE9ZJALQJC7&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-34-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_atf_next
AW,"Reviewed in the United States on August 21, 2019",2.0 out of 5 stars,/gp/profile/amzn1.account.AGNB3A5SOQGD7HCMXGEFR4ALTCJA,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A1019656VBE9ZJALQJC7&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-34-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_atf_next
Kate Matson,"Reviewed in the United States on December 21, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AHV5G4FSFRGLPO273EJTHPZTV7PQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A1019656VBE9ZJALQJC7&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-34-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_atf_next
Javier Contreras,"Reviewed in the United States on February 20, 2020",1.0 out of 5 stars,/gp/profile/amzn1.account.AFVVQZGK5NXTY6MEBQVG6WEDVNCQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A1019656VBE9ZJALQJC7&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-34-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_atf_next
joe,"Reviewed in the United States on August 12, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AFVSUNBMKLU46LUNCCZJBR3IBQKQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A1019656VBE9ZJALQJC7&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-34-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_atf_next
Nitin,"Reviewed in the United States on September 7, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AF25KW5ITYYNBHPBKXHTHYEH2OHA,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A1019656VBE9ZJALQJC7&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-34-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_atf_next
Vance,"Reviewed in the United States on August 29, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AFCTFC4XHIEEQ3WAA7UCCPIHLYAQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A02214402P75R530RD419&url=%2FASUS-i7-10510U-ScreenPad-Compatible-UX534FTC-AS77%2Fdp%2FB0869JVMLY%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-53-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_btf
DA,"Reviewed in the United States on October 7, 2019",4.0 out of 5 stars,/gp/profile/amzn1.account.AGVJZG6PR2SH25DUW27UE6GMLGSA,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A02214402P75R530RD419&url=%2FASUS-i7-10510U-ScreenPad-Compatible-UX534FTC-AS77%2Fdp%2FB0869JVMLY%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-53-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_btf
Andrew S.,"Reviewed in the United States on October 31, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AHLFDNMX7S2N3RVVBU4HFCQSOLBQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A02214402P75R530RD419&url=%2FASUS-i7-10510U-ScreenPad-Compatible-UX534FTC-AS77%2Fdp%2FB0869JVMLY%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682156%26sr%3D8-53-spons%26psc%3D1&qualifier=1592682156&id=100449924197433&widgetName=sp_btf
gozomonster,"Reviewed in the United States on December 14, 2018",1.0 out of 5 stars,/gp/profile/amzn1.account.AFVGWGKO6XOR2ZWWIWHFHI4QZFIA,https://www.amazon.com/Microsoft-Surface-Platinum-LQL-00001-Windows/dp/B07HZK3SLP/ref=sr_1_69?dchild=1&keywords=laptops&qid=1592682160&sr=8-69
Amazon Customer,"Reviewed in the United States on October 17, 2018",5.0 out of 5 stars,/gp/profile/amzn1.account.AHSXZJ4H5WUCMCEWB4456UP7ZAUQ,https://www.amazon.com/Microsoft-Surface-Platinum-LQL-00001-Windows/dp/B07HZK3SLP/ref=sr_1_69?dchild=1&keywords=laptops&qid=1592682160&sr=8-69
David,"Reviewed in the United States on December 25, 2018",5.0 out of 5 stars,/gp/profile/amzn1.account.AEFGDDKDZJOWXZEA5QFTSSEIDLKQ,https://www.amazon.com/Microsoft-Surface-Platinum-LQL-00001-Windows/dp/B07HZK3SLP/ref=sr_1_69?dchild=1&keywords=laptops&qid=1592682160&sr=8-69
Surfpipe,"Reviewed in the United States on December 17, 2018",2.0 out of 5 stars,/gp/profile/amzn1.account.AEI2JM4LHAP65QP5K722XRSOIL4A,https://www.amazon.com/Microsoft-Surface-Platinum-LQL-00001-Windows/dp/B07HZK3SLP/ref=sr_1_69?dchild=1&keywords=laptops&qid=1592682160&sr=8-69
LittleLise,"Reviewed in the United States on December 30, 2017",2.0 out of 5 stars,/gp/profile/amzn1.account.AGHSHRULF72GGJID4EAM7ZGQRWKA,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
Leah B.,"Reviewed in the United States on February 18, 2018",5.0 out of 5 stars,/gp/profile/amzn1.account.AF3XR6DXCE27TD5NR4LGY4FIDVGA,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
Budapesti,"Reviewed in the United States on March 7, 2019",4.0 out of 5 stars,/gp/profile/amzn1.account.AGHQB3IOKG5IMY4HMKHI6NK7G73Q,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
Manyel Nicholson M.,"Reviewed in the United States on May 13, 2018",5.0 out of 5 stars,/gp/profile/amzn1.account.AHKFD6LDJZEK5MBETMF3IG26KWCA,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
J,"Reviewed in the United States on November 12, 2018",4.0 out of 5 stars,/gp/profile/amzn1.account.AHV7O3465AE4ZVQYWRJLNGATUYLA,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
R. Peters,"Reviewed in the United States on August 8, 2017",4.0 out of 5 stars,/gp/profile/amzn1.account.AGBA4JHOGZGXXEQ4ZN2CMLMPUOJQ,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
Smithville Lowdens,"Reviewed in the United States on October 27, 2018",1.0 out of 5 stars,/gp/profile/amzn1.account.AFWQYAEEMZ3FLV73SJJOBUT6K63Q,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
Ann,"Reviewed in the United States on August 28, 2018",1.0 out of 5 stars,/gp/profile/amzn1.account.AG3RJXXIOBBFFZ4VRLNIH2DP22TA,https://www.amazon.com/HP-Lightweight-Stream-14inch-BrightView-Processor/dp/B07VTB2BF2/ref=sr_1_70?dchild=1&keywords=laptops&qid=1592682160&sr=8-70
Dude,"Reviewed in the United States on October 6, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AETHCYZZWANH4SYBFLHH4POBMS2A,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
dmMatrix,"Reviewed in the United States on October 28, 2019",3.0 out of 5 stars,/gp/profile/amzn1.account.AFZGCE4BFTHDKHVHS3JG6MOPUW3A,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
Prime Customer,"Reviewed in the United States on October 31, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AHN2VXOICEA3JBN72AABLN7XURRA,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
Angel Paez,"Reviewed in the United States on January 2, 2020",1.0 out of 5 stars,/gp/profile/amzn1.account.AFZZTMM2USU6CLZKWOCYUXQ356TA,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
JN,"Reviewed in the United States on September 30, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AGAFW3DBLBBZ3NFKHY36EJYIL5KA,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
Aastha S.,"Reviewed in the United States on October 23, 2019",4.0 out of 5 stars,/gp/profile/amzn1.account.AFSDZW6E7PFNOQ2WMOI6AVAMT2GQ,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
Markus Black,"Reviewed in the United States on October 4, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AGASM5CGAIXCO5Y4IAG64U64FLZQ,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
Jam Jones,"Reviewed in the United States on November 9, 2019",4.0 out of 5 stars,/gp/profile/amzn1.account.AGZJ2DMPRBNQLBYDOKAFLVNA45NQ,https://www.amazon.com/ASUS-Performance-Computer-Bluetooth-Gradient/dp/B07T891NV7/ref=sr_1_83?dchild=1&keywords=laptops&qid=1592682160&sr=8-83
