Reviewer_Ranking,Reviews,Helpful_votes,Profile_link
14,"2,903","20,739",/gp/profile/amzn1.account.AHXQBJ33UXM57LZZ6WWI52S2KZIQ
0,0,0,/gp/profile/amzn1.account.AE6VGZFE4VPWW323KI5CUF67IIGA
0,27,25,/gp/profile/amzn1.account.AGVQJRCC56FKN4DB4Y5UC4NKSQHA
0,6,5,/gp/profile/amzn1.account.AFH25QHKWSGQK6PIBFBCTGJ7W64A
0,10,12,/gp/profile/amzn1.account.AHXISOI5REI63Q3NANIS7DEPHGWA
0,155,428,/gp/profile/amzn1.account.AE6VGZFE4VPWW323KI5CUF67IIGA/ref=cm_cr_dp_d_gw_tr?ie=UTF8
0,27,25,/gp/profile/amzn1.account.AGVQJRCC56FKN4DB4Y5UC4NKSQHA/ref=cm_cr_dp_d_gw_tr?ie=UTF8
0,6,5,/gp/profile/amzn1.account.AFH25QHKWSGQK6PIBFBCTGJ7W64A/ref=cm_cr_dp_d_gw_tr?ie=UTF8
0,10,12,/gp/profile/amzn1.account.AHXISOI5REI63Q3NANIS7DEPHGWA/ref=cm_cr_dp_d_gw_tr?ie=UTF8
0,2,3,/gp/profile/amzn1.account.AFAASQW24BX4EZ6N4B6JVCTLIADA/ref=cm_cr_dp_d_gw_tr?ie=UTF8
